asset_id,source,source_system,dataset_version,generation_seed,latitude,longitude,h3_cell,h3_resolution,state,active_copper_lines,pots_only_households,fiber_overbuild_pct,critical_service_flags,puc_docket_active,tribal_land_overlap,soil_risk_score,permitting_complexity,colocated_utilities,historical_dig_incident_rate,recoverable_copper_lbs,copper_price_usd_per_lb,synthetic_data_notice
SA-00013,synthetic,simulated_lumen_oss_gis,2026.09,42,33.786778,-112.261317,8929b6c436fffff,9,AZ,3727,1168,0.423,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",true,false,0.969,0.579,0,3.74,11433.1,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00014,synthetic,simulated_lumen_oss_gis,2026.09,42,45.076789,-122.396735,8928f46d18bffff,9,OR,4350,644,0.057,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":true,""medical_monitoring"":false}",false,false,0.942,0.57,0,3.097,83845.0,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00015,synthetic,simulated_lumen_oss_gis,2026.09,42,45.165227,-123.120356,8928f549383ffff,9,OR,2136,836,0.67,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.936,0.009,0,0.366,42630.9,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00016,synthetic,simulated_lumen_oss_gis,2026.09,42,43.219211,-116.41609,892884b833bffff,9,ID,563,250,0.37,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.008,0.817,2,4.659,20717.3,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00017,synthetic,simulated_lumen_oss_gis,2026.09,42,39.638019,-104.68823,89268cc64d7ffff,9,CO,4532,636,0.272,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.905,0.846,0,3.171,165869.6,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00018,synthetic,simulated_lumen_oss_gis,2026.09,42,32.903191,-111.805993,8948e958a77ffff,9,AZ,2145,661,0.741,"{""alarm_system"":false,""e911_backup"":true,""fax_or_credit_card"":true,""medical_monitoring"":false}",false,false,0.546,0.835,1,2.149,8365.8,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00019,synthetic,simulated_lumen_oss_gis,2026.09,42,43.909083,-115.924265,8928846cdc7ffff,9,ID,326,183,0.21,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.155,0.93,1,4.881,162154.3,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00020,synthetic,simulated_lumen_oss_gis,2026.09,42,44.522308,-93.116123,89262c10213ffff,9,MN,2721,1686,0.802,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",true,false,0.859,0.222,3,1.748,164107.3,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00021,synthetic,simulated_lumen_oss_gis,2026.09,42,39.600631,-104.871973,89268cc0e77ffff,9,CO,3264,1344,0.279,"{""alarm_system"":true,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.331,0.028,2,0.893,192506.9,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00022,synthetic,simulated_lumen_oss_gis,2026.09,42,43.134431,-116.143772,8928848d013ffff,9,ID,2831,1284,0.436,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",true,false,0.52,0.807,1,1.821,13994.8,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
SA-00023,synthetic,simulated_lumen_oss_gis,2026.09,42,47.720771,-122.052214,8928d548443ffff,9,WA,1020,737,0.9,"{""alarm_system"":false,""e911_backup"":false,""fax_or_credit_card"":false,""medical_monitoring"":false}",false,false,0.665,0.379,1,3.078,60190.0,4.35,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
