recovery_id,asset_id,h3_cell,state,recovery_status,estimated_recoverable_lbs,recovered_lbs,recovery_yield_pct,copper_grade,reference_price_usd_per_lb,estimated_material_value_usd,source,source_system,dataset_version,generation_seed,synthetic_data_notice
REC-00012,SA-00012,8948eba3387ffff,AZ,scheduled,32927.4,0.0,0.797,number_2,4.35,143234.19,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00013,SA-00013,8929b6c436fffff,AZ,completed,11433.1,7374.3,0.645,number_1,4.35,49733.99,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00014,SA-00014,8928f46d18bffff,OR,completed,83845.0,63386.8,0.756,insulated_wire,4.35,364725.75,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00015,SA-00015,8928f549383ffff,OR,scheduled,42630.9,0.0,0.934,number_1,4.35,185444.41,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00016,SA-00016,892884b833bffff,ID,completed,20717.3,12306.1,0.594,number_1,4.35,90120.25,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00017,SA-00017,89268cc64d7ffff,CO,completed,165869.6,124899.8,0.753,number_1,4.35,721532.76,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00018,SA-00018,8948e958a77ffff,AZ,completed,8365.8,6968.7,0.833,number_2,4.35,36391.23,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00019,SA-00019,8928846cdc7ffff,ID,estimated,162154.3,0.0,0.862,number_1,4.35,705371.2,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00020,SA-00020,89262c10213ffff,MN,completed,164107.3,146547.8,0.893,number_2,4.35,713866.75,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00021,SA-00021,89268cc0e77ffff,CO,completed,192506.9,180379.0,0.937,bare_bright,4.35,837405.01,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00022,SA-00022,8928848d013ffff,ID,completed,13994.8,8424.9,0.602,number_1,4.35,60877.38,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
REC-00023,SA-00023,8928d548443ffff,WA,estimated,60190.0,0.0,0.816,number_1,4.35,261826.5,synthetic,simulated_copper_recovery_operations,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
