circuit_id,asset_id,h3_cell,state,service_class,transport_medium,status,active_customer_count,route_miles,fiber_reroute_available,reroute_asset_id,source,source_system,dataset_version,generation_seed,synthetic_data_notice
CKT-00014-02,SA-00014,8928f46d18bffff,OR,dsl,copper,pending_disconnect,41,4.11,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00014-03,SA-00014,8928f46d18bffff,OR,pots,copper,pending_disconnect,18,4.9,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00015-01,SA-00015,8928f549383ffff,OR,alarm_transport,copper,active,27,2.6,true,SA-00016,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00015-02,SA-00015,8928f549383ffff,OR,dsl,copper,pending_disconnect,16,9.7,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00016-01,SA-00016,892884b833bffff,ID,dsl,copper,active,19,3.85,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00017-01,SA-00017,89268cc64d7ffff,CO,dsl,copper,pending_disconnect,39,14.54,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00017-02,SA-00017,89268cc64d7ffff,CO,special_access,copper,active,27,3.57,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00017-03,SA-00017,89268cc64d7ffff,CO,alarm_transport,copper,active,19,4.76,true,SA-00020,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00018-01,SA-00018,8948e958a77ffff,AZ,special_access,copper,active,74,0.92,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00018-02,SA-00018,8948e958a77ffff,AZ,alarm_transport,copper,active,94,8.85,true,SA-00020,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00019-01,SA-00019,8928846cdc7ffff,ID,special_access,copper,active,56,2.82,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00020-01,SA-00020,89262c10213ffff,MN,special_access,copper,pending_disconnect,78,13.03,true,SA-00021,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00020-02,SA-00020,89262c10213ffff,MN,pots,copper,active,68,4.77,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00021-01,SA-00021,89268cc0e77ffff,CO,special_access,copper,active,85,8.09,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00021-02,SA-00021,89268cc0e77ffff,CO,pots,copper,active,42,11.1,true,SA-00023,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00022-01,SA-00022,8928848d013ffff,ID,alarm_transport,copper,active,31,14.56,false,,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00022-02,SA-00022,8928848d013ffff,ID,dsl,copper,active,2,7.86,true,SA-00000,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
CKT-00023-01,SA-00023,8928d548443ffff,WA,dsl,copper,active,95,9.52,true,SA-00000,synthetic,simulated_network_circuit_inventory,2026.09,42,SYNTHETIC DEMO DATA - NOT REAL LUMEN PLANT OR OPERATIONS
